state,answer_set,facility_name,gender,count,n_respondents,pct_of_respondents
WI,all-surveys,"Brown County Jail, WI",Woman,19,74,0.25675675675675674
WV,all-surveys,WV DCR Eastern Regional Jail,Man,19,20,0.95
WV,all-surveys,WV DCR Potomac Highlands Regional Jail,Man,19,20,0.95
CO,all-surveys,"La Plata County, CO ",Man,18,18,1
FL,all-surveys,"Citrus County Detention Facility, FL",Man,18,30,0.6
FL,all-surveys,"Monroe County-Key West, FL",Man,18,25,0.72
IL,all-surveys,"Vermilion County Jail, IL",Man,18,19,0.9473684210526315
NJ,all-surveys,"Cumberland County Jail, NJ",Man,18,24,0.75
NJ,all-surveys,"Ocean County, NJ",Man,18,23,0.782608695652174
TN,all-surveys,"Warren County Jail, TN",Man,18,26,0.6923076923076923
TX,all-surveys,"Hunt County, TX",Man,18,25,0.72
TX,all-surveys,"Wichita County, TX ",Man,18,33,0.5454545454545454
CA,all-surveys,"Tehama County, CA",Man,17,21,0.8095238095238095
FL,all-surveys,"Hillsborough County Sheriff's Office, FL",Woman,17,182,0.09340659340659341
FL,all-surveys,"Sarasota County, FL",Woman,17,66,0.25757575757575757
GA,all-surveys,"Thomas County Detention, GA",Man,17,20,0.85
NY,all-surveys,"Broome County Public Safety Facility, NY",Man,17,20,0.85
PA,all-surveys,"Bucks County Correctional Facility, PA",Man,17,23,0.7391304347826086
PA,all-surveys,"Columbia County, PA",Man,17,23,0.7391304347826086
CA,all-surveys,"Stanislaus County, CA",Woman,16,174,0.09195402298850575
FL,all-surveys,"Pinellas County Jail, FL",Woman,16,90,0.17777777777777778
ID,all-surveys,"Bonneville County, ID",Man,16,19,0.8421052631578947
MA,all-surveys,"Barnstable County Correctional Facility, MA",Man,16,29,0.5517241379310345
MT,all-surveys,"Missoula County, MT",Man,16,21,0.7619047619047619
NY,all-surveys,"Ulster County Jail, NY",Man,16,20,0.8
OH,all-surveys,"Greene County, OH: Adult Detention",Man,16,24,0.6666666666666666
OH,all-surveys,"Muskingum County, OH",Man,16,28,0.5714285714285714
PA,all-surveys,"Indiana County, PA",Man,16,20,0.8
PA,all-surveys,"Northampton County Prison, PA",Man,16,20,0.8
PA,all-surveys,"Westmoreland County, PA",Woman,16,89,0.1797752808988764
SC,all-surveys,"Aiken County, SC",Man,16,19,0.8421052631578947
VA,all-surveys,"Henrico County Sheriff's Office, VA",Man,16,23,0.6956521739130435
AL,all-surveys,"Etowah County Jail, AL",Woman,15,54,0.2777777777777778
CA,all-surveys,"Orange County, CA - Central Jail Complex",Woman,15,105,0.14285714285714285
CA,all-surveys,"San Joaquin County Jail, CA",Woman,15,96,0.15625
CA,all-surveys,"Yuba County, CA ",Man,15,18,0.8333333333333334
CO,all-surveys,"Mesa County, CO",Woman,15,93,0.16129032258064516
NJ,all-surveys,Middlesex County NJ: Adult Correctional,Man,15,16,0.9375
SC,all-surveys,"Pickens County Detention Facility, SC",Woman,15,29,0.5172413793103449
TX,all-surveys,"Potter County Detention, TX",Woman,15,77,0.19480519480519481
TX,all-surveys,"Wichita County, TX ",Woman,15,33,0.45454545454545453
VA,all-surveys,"Norfolk City Jail, VA",Man,15,17,0.8823529411764706
WA,all-surveys,"Yakima County, WA",Woman,15,111,0.13513513513513514
CA,all-surveys,"Lassen County, CA",Man,14,17,0.8235294117647058
CA,all-surveys,"Ventura County Sheriff's Office, CA",Woman,14,101,0.13861386138613863
IN,all-surveys,"Kosciusko County, IN",Man,14,18,0.7777777777777778
MD,all-surveys,"Anne Arundel County, MD",Man,14,21,0.6666666666666666
MI,all-surveys,"Washtenaw County Jail, MI",Man,14,25,0.56
NY,all-surveys,"Onondaga County, NY",Man,14,22,0.6363636363636364
OH,all-surveys,"Ashland County, OH ",Man,14,17,0.8235294117647058
UT,all-surveys,"Iron County, UT",Man,14,20,0.7
VA,all-surveys,"Rappahannock Regional Jail, VA",Woman,14,75,0.18666666666666668
CA,all-surveys,"Tuolumne-Dambacher Detention Center, CA",Man,13,17,0.7647058823529411
ME,all-surveys,"Cumberland County Jail, ME",Man,13,16,0.8125
MI,all-surveys,"Muskegon County Jail, MI",Man,13,17,0.7647058823529411
MS,all-surveys,"Madison County Detention Center, MS",Man,13,16,0.8125
NC,all-surveys,"Stanly County Jail, NC",Man,13,15,0.8666666666666667
OH,all-surveys,"Columbiana County Jail, OH",Man,13,18,0.7222222222222222
PA,all-surveys,"Adam County, PA - Adult Correctional Complex",Man,13,16,0.8125
PA,all-surveys,"Lackawana County, PA",Woman,13,112,0.11607142857142858
PA,all-surveys,"Lycoming County, PA",Man,13,14,0.9285714285714286
SC,all-surveys,"Pickens County Detention Facility, SC",Man,13,29,0.4482758620689655
TN,all-surveys,"Davidson County Detention Center, TN",Woman,13,119,0.1092436974789916
TX,all-surveys,"Travis County Jail, TX",Woman,13,205,0.06341463414634146
WI,all-surveys,"Winnebago County, WI",Man,13,14,0.9285714285714286
AZ,all-surveys,"Yavapai County Jail, AZ",Woman,12,37,0.32432432432432434
CA,all-surveys,"Santa Barbara County, CA",Woman,12,74,0.16216216216216217
CO,all-surveys,"Larimer County, CO",Woman,12,47,0.2553191489361702
FL,all-surveys,Santa Rosa County FL,Woman,12,60,0.2
GA,all-surveys,"Catoosa County Jail, GA",Man,12,20,0.6
GA,all-surveys,"Forsyth County Detention Center, GA",Man,12,21,0.5714285714285714
KS,all-surveys,"Butler County Corrections, KS",Man,12,14,0.8571428571428571
MA,all-surveys,"Barnstable County Correctional Facility, MA",Woman,12,29,0.41379310344827586
MI,all-surveys,"Macomb County, MI",Woman,12,55,0.21818181818181817
NJ,all-surveys,"Mercer County Correction Center, NJ",Man,12,16,0.75
NM,all-surveys,"Sandoval County Detention Center, NM",Man,12,14,0.8571428571428571
NY,all-surveys,"Delaware County Correctional Facility, NY",Man,12,19,0.631578947368421
NY,all-surveys,"Saratoga County Correctional Facility, NY",Man,12,13,0.9230769230769231
OH,all-surveys,"Scioto County, OH ",Man,12,15,0.8
PA,all-surveys,"Bradford County, PA",Man,12,13,0.9230769230769231
SC,all-surveys,"Sumter County Detention Center, SC",Man,12,12,1
TX,all-surveys,"Fannin County Jail, TX",Man,12,13,0.9230769230769231
VA,all-surveys,"Pamunkey Regional Jail, VA",Woman,12,59,0.2033898305084746
VA,all-surveys,"Virginia Beach Correctional Facility, VA",Woman,12,109,0.11009174311926606
WA,all-surveys,"King County Adult Detention, WA",Woman,12,64,0.1875
CO,all-surveys,"Denver County Jail, CO",Woman,11,150,0.07333333333333333
CO,all-surveys,"Douglas Detention Center, CO",Woman,11,43,0.2558139534883721
FL,all-surveys,"Leon County Jail, FL",Woman,11,97,0.1134020618556701
FL,all-surveys,"Walton County Jail, FL",Man,11,13,0.8461538461538461
KS,all-surveys,"Wyandotte County Detention Facility, KS",Man,11,14,0.7857142857142857
KY,all-surveys,"Clay County Detention Center, KY",Man,11,13,0.8461538461538461
MD,all-surveys,"Prince Georges County DOC, MD",Man,11,16,0.6875
MI,all-surveys,"Livingston County, MI",Woman,11,32,0.34375
NE,all-surveys,"Lancaster County, NE",Woman,11,74,0.14864864864864866
NE,all-surveys,"Sarpy County Jail, NE",Man,11,13,0.8461538461538461
NY,all-surveys,"Chemung County Jail, NY",Man,11,14,0.7857142857142857
OH,all-surveys,"Medina County Jail, OH",Man,11,20,0.55
TX,all-surveys,"Guadalupe County, TX",Woman,11,76,0.14473684210526316
VA,all-surveys,"Southside Regional Jail, VA",Man,11,11,1
AZ,all-surveys,"Pinal County Jail, AZ",Woman,10,51,0.19607843137254902
CA,all-surveys,"Nevada County, CA",Man,10,12,0.8333333333333334
CA,all-surveys,"Tulare County, CA-Bob Wiley Detention ",Man,10,12,0.8333333333333334
FL,all-surveys,"Citrus County Detention Facility, FL",Woman,10,30,0.3333333333333333
FL,all-surveys,"Lee County, FL",Woman,10,61,0.16393442622950818
GA,all-surveys,"Columbia County Detention Center, GA",Woman,10,32,0.3125
IA,all-surveys,"Dubuque County, IA ",Man,10,12,0.8333333333333334
MA,all-surveys,"Suffolk County Jail, MA",Woman,10,73,0.136986301369863
ME,all-surveys,"Somerset County Jail, ME",Man,10,10,1
MT,all-surveys,"Cascade County, MT",Man,10,14,0.7142857142857143
NC,all-surveys,"Mecklenburg County Sheriffs Office,  NC",Woman,10,90,0.1111111111111111
NJ,all-surveys,"Atlantic County Justice Facility, NJ",Man,10,13,0.7692307692307693
NY,all-surveys,"Cayuga County, NY",Man,10,12,0.8333333333333334
