state,answer_set,facility_name,who_vote_for_supplement,count,n_respondents,pct_of_respondents
WI,all-surveys,"Rock County, WI",Kamala Harris,9,18,0.5
WV,all-surveys,WV DCR South Central Regional Jail,Donald J. Trump,9,15,0.6
WV,all-surveys,WV DCR Southern Regional Jail,Donald J. Trump,9,15,0.6
AZ,all-surveys,"Yavapai County Jail, AZ",Kamala Harris,8,18,0.4444444444444444
CA,all-surveys,"Lassen County, CA",Donald J. Trump,8,10,0.8
CA,all-surveys,"Santa Clara County, CA",Donald J. Trump,8,33,0.24242424242424243
CA,all-surveys,"Ventura County Sheriff's Office, CA",Don't know,8,53,0.1509433962264151
FL,all-surveys,"Lee County, FL",Kamala Harris,8,33,0.24242424242424243
FL,all-surveys,"Walton County Jail, FL",Donald J. Trump,8,13,0.6153846153846154
IL,all-surveys,"Cook County, IL","Donald J. Trump, Kamala Harris",8,325,0.024615384615384615
IL,all-surveys,"Cook County, IL",Third-party candidate,8,325,0.024615384615384615
IL,all-surveys,"Kane County, IL",Don't know,8,43,0.18604651162790697
IN,all-surveys,"Hamilton County Main Jail, IN",Wouldn't vote,8,63,0.12698412698412698
IN,all-surveys,"La Port County Jail, IN",Kamala Harris,8,38,0.21052631578947367
KS,all-surveys,"Butler County Corrections, KS",Donald J. Trump,8,14,0.5714285714285714
KS,all-surveys,"Douglas County, KS",Donald J. Trump,8,17,0.47058823529411764
MA,all-surveys,"Hampshire County, MA",Kamala Harris,8,20,0.4
MA,all-surveys,"Norfolk County Jail, MA",Donald J. Trump,8,13,0.6153846153846154
MA,all-surveys,"Plymouth County Correctional Facility, MA",Kamala Harris,8,14,0.5714285714285714
MA,all-surveys,"Suffolk County Jail, MA",Kamala Harris,8,23,0.34782608695652173
MD,all-surveys,"Prince Georges County DOC, MD",Donald J. Trump,8,14,0.5714285714285714
MI,all-surveys,"Washtenaw County Jail, MI",Donald J. Trump,8,25,0.32
MT,all-surveys,"Cascade County, MT",Donald J. Trump,8,14,0.5714285714285714
NC,all-surveys,"New Hanover County Detention Center, NC",Donald J. Trump,8,24,0.3333333333333333
NE,all-surveys,"Lancaster County, NE",Wouldn't vote,8,47,0.1702127659574468
NE,all-surveys,"Sarpy County Jail, NE",Donald J. Trump,8,13,0.6153846153846154
NJ,all-surveys,"Cumberland County Jail, NJ",Donald J. Trump,8,14,0.5714285714285714
NJ,all-surveys,"Essex County Correctional Facility, NJ",Don't know,8,68,0.11764705882352941
NJ,all-surveys,Middlesex County NJ: Adult Correctional,Donald J. Trump,8,12,0.6666666666666666
NM,all-surveys,"Curry County Detention Center, NM",Kamala Harris,8,21,0.38095238095238093
NY,all-surveys,"Broome County Public Safety Facility, NY",Kamala Harris,8,20,0.4
