state,answer_set,facility_name,who_vote_for,count,n_respondents,pct_of_respondents
NM,all-surveys,"Sandoval County Detention Center, NM",Donald J. Trump,7,13,0.5384615384615384
NY,all-surveys,"Albany County Correctional Facility, NY",Third-Party Candidate,7,72,0.09722222222222222
NY,all-surveys,"Erie County, NY",Wouldn't vote,7,45,0.15555555555555556
NY,all-surveys,"Niagara County Correctional Facility, NY",Wouldn't vote,7,39,0.1794871794871795
NY,all-surveys,"Saratoga County Correctional Facility, NY",Donald J. Trump,7,11,0.6363636363636364
OH,all-surveys,"Ashland County, OH ",Donald J. Trump,7,9,0.7777777777777778
OR,all-surveys,"Lincoln County, OR",Third-Party Candidate,7,35,0.2
PA,all-surveys,"Cumberland County Prison, PA",Donald J. Trump,7,12,0.5833333333333334
PA,all-surveys,"Dauphin County Jail, PA",Third-Party Candidate,7,84,0.08333333333333333
PA,all-surveys,"Westmoreland County, PA",Wouldn't vote,7,57,0.12280701754385964
UT,all-surveys,"Salt Lake City County, UT",Joe Biden,7,50,0.14
WV,all-surveys,WV DCR North Central Regional Jail,Joe Biden,7,75,0.09333333333333334
AL,all-surveys,"Montgomery County, AL",Donald J. Trump,6,15,0.4
AL,all-surveys,"Riverside Regional, VA",Wouldn't vote,6,24,0.25
AZ,all-surveys,"Pinal County Jail, AZ",Third-Party Candidate,6,35,0.17142857142857143
CA,all-surveys,"Butte County, CA",Joe Biden,6,46,0.13043478260869565
