state,answer_set,facility_name,vote_impact_government_level,count,n_respondents,pct_of_respondents
OR,all-surveys,"Lincoln County, OR",City / Town,8,34,0.23529411764705882
PA,all-surveys,"Columbia County, PA",City / Town,8,16,0.5
PA,all-surveys,"Fayette County, PA",State,8,25,0.32
PA,all-surveys,"Franklin County, PA",Federal,8,23,0.34782608695652173
PA,all-surveys,"Lebanon County, PA",County,8,45,0.17777777777777778
PA,all-surveys,"Washington County, PA ",Federal,8,42,0.19047619047619047
SC,all-surveys,"Richland County Glenn Detention Center, SC",City / Town,8,23,0.34782608695652173
TX,all-surveys,"Hunt County, TX",State,8,20,0.4
TX,all-surveys,"Johnson County, TX",City / Town,8,36,0.2222222222222222
TX,all-surveys,"Wichita County, TX ",City / Town,8,27,0.2962962962962963
TX,all-surveys,"Wichita County, TX ",Federal,8,27,0.2962962962962963
VA,all-surveys,"Arlington County Detention Center, VA",State,8,29,0.27586206896551724
VA,all-surveys,"Roanoke City Adult Detention Center, VA",Federal,8,39,0.20512820512820512
WI,all-surveys,"Rock County, WI",State,8,25,0.32
AL,all-surveys,"Riverside Regional, VA",State,7,21,0.3333333333333333
AZ,all-surveys,"Apache County Jail, AZ",State,7,21,0.3333333333333333
AZ,all-surveys,"Yavapai County Jail, AZ",State,7,20,0.35
CA,all-surveys,"Alameda County-Santa Rita, CA",County,7,33,0.21212121212121213
CA,all-surveys,"Butte County, CA",Federal,7,46,0.15217391304347827
CA,all-surveys,"Sonoma County, CA",State,7,18,0.3888888888888889
CA,all-surveys,"Tuolumne-Dambacher Detention Center, CA",Federal,7,12,0.5833333333333334
CO,all-surveys,"Denver County Jail, CO",County,7,90,0.07777777777777778
FL,all-surveys,"Nassau County, FL",City / Town,7,16,0.4375
FL,all-surveys,"Sarasota County, FL",County,7,43,0.16279069767441862
GA,all-surveys,"Athens Clarke County Jail, GA",County,7,51,0.13725490196078433
GA,all-surveys,"Cobb County, GA",City / Town,7,30,0.23333333333333334
GA,all-surveys,"Cobb County, GA",Federal,7,30,0.23333333333333334
GA,all-surveys,"Columbia County Detention Center, GA",State,7,20,0.35
IA,all-surveys,"Polk County, IA ",City / Town,7,27,0.25925925925925924
IL,all-surveys,"Kane County, IL",County,7,36,0.19444444444444445
IN,all-surveys,"Boone County, IN",City / Town,7,21,0.3333333333333333
KY,all-surveys,"Lexington-Fayette County Detention Center, KY",City / Town,7,25,0.28
KY,all-surveys,"Lexington-Fayette County Detention Center, KY",State,7,25,0.28
KY,all-surveys,"Madison County, KY",State,7,15,0.4666666666666667
MA,all-surveys,"Norfolk County Jail, MA",Federal,7,20,0.35
MA,all-surveys,"Plymouth County Correctional Facility, MA",Federal,7,32,0.21875
ME,all-surveys,"Two Bridges Regional, ME",City / Town,7,17,0.4117647058823529
MI,all-surveys,"Genesee County, MI",State,7,22,0.3181818181818182
MT,all-surveys,"Missoula County, MT",Federal,7,20,0.35
NE,all-surveys,"Scotts Bluff County Detention Center, NE",Federal,7,25,0.28
NJ,all-surveys,"Bergen County, NJ",Federal,7,30,0.23333333333333334
NJ,all-surveys,"Burlington County Department of Corrections, NJ",Federal,7,22,0.3181818181818182
NM,all-surveys,"Eddy County Detention Center, NM",State,7,19,0.3684210526315789
NY,all-surveys,"Albany County Correctional Facility, NY",County,7,67,0.1044776119402985
NY,all-surveys,"Chautauqua County, NY",Federal,7,28,0.25
OH,all-surveys,"Muskingum County, OH",City / Town,7,21,0.3333333333333333
OH,all-surveys,"Muskingum County, OH",State,7,21,0.3333333333333333
OH,all-surveys,"Summit County, OH",Federal,7,30,0.23333333333333334
PA,all-surveys,"Berks County Jail, PA",Federal,7,47,0.14893617021276595
PA,all-surveys,"Delaware County, PA",City / Town,7,22,0.3181818181818182
PA,all-surveys,"Fayette County, PA",City / Town,7,25,0.28
PA,all-surveys,"Lebanon County, PA",Federal,7,45,0.15555555555555556
PA,all-surveys,"Montgomery County Correctional Facility, PA",County,7,51,0.13725490196078433
TX,all-surveys,"Hunt County, TX",City / Town,7,20,0.35
UT,all-surveys,"Beaver County, UT",City / Town,7,28,0.25
VA,all-surveys,"Arlington County Detention Center, VA",Federal,7,29,0.2413793103448276
VA,all-surveys,"Pamunkey Regional Jail, VA",City / Town,7,35,0.2
WA,all-surveys,"Whatcom County, WA - Main Jail",City / Town,7,21,0.3333333333333333
WA,all-surveys,"Yakima County, WA",County,7,80,0.0875
WI,all-surveys,"Rock County, WI",City / Town,7,25,0.28
WI,all-surveys,"Rock County, WI",Federal,7,25,0.28
AL,all-surveys,"Montgomery County, AL",City / Town,6,15,0.4
AL,all-surveys,"Riverside Regional, VA",Federal,6,21,0.2857142857142857
CA,all-surveys,"Alameda County-Santa Rita, CA",Federal,6,33,0.18181818181818182
CA,all-surveys,"Butte County, CA",County,6,46,0.13043478260869565
CA,all-surveys,"Santa Barbara County, CA",County,6,50,0.12
